Название,Год,Страна,Режиссер,Рейтинг,Смотреть онлайн
Три мушкетера,1973,США,Ричард Лестер,6.5,False
Трон в крови,1957,Япония,Акира Куросава,7.8,False
Шаровая молния,1965,Великобритания,Теренс Янг,7.3,False
Галактика THX-1138,1971,США,Джордж Лукас,6.6,False
Время цыган,1988,Югославия,Эмир Кустурица,8.0,False
Тайм аут,2001,Франция,Лоран Канте,6.7,False
Обретенное время,1999,Франция,Рауль Руис,6.7,False
Время жить и время умирать,1985,Тайвань,Хоу Сяосянь,6.8,False
Тайм-код,2000,США,Майк Фиггис,6.7,False
Жестяной барабан,1979,Германия (ФРГ),Фолькер Шлёндорф,7.7,False
Титаник,1997,США,Джеймс Кэмерон,8.4,False
Быть или не быть,1942,США,Эрнст Любич,7.8,False
Иметь и не иметь,1944,США,Ховард Хоукс,7.2,False
Убить пересмешника,1962,США,Роберт Маллиган,8.0,False
Вместе,2000,Швеция,Лукас Мудиссон,7.1,False
Токийский скиталец,1966,Япония,Сэйдзюн Судзуки,6.9,False
Токийская повесть,1953,Япония,Ясудзиро Одзу,8.0,False
Том Джонс,1963,Великобритания,Тони Ричардсон,6.2,False
Томми,1975,Великобритания,Кен Рассел,7.4,False
Лучший стрелок,1986,США,Тони Скотт,7.1,False
Крот,1970,Мексика,Алехандро Ходоровски,7.4,False
Печать зла,1958,США,Орсон Уэллс,7.6,False
Касание Дзен,1971,Тайвань,Кинг Ху,6.8,False
Касаясь пустоты,2003,Великобритания,Кевин Макдональд,8.0,False
История игрушек,1995,США,Джон Лассетер,7.9,False
Поезд,1964,Франция,Джон Франкенхаймер,7.6,False
На игле,1995,Великобритания,Дэнни Бойл,8.0,False
Сокровища Сьерра Мадре,1947,США,Джон Хьюстон,8.0,False
Истина в вине,1996,США,Стив Бушеми,6.6,False
Процесс,1962,Франция,Орсон Уэллс,7.7,False
Триумф воли,1935,Германия,Лени Рифеншталь,7.8,False
Трон,1982,США,Стивен Лисбергер,6.9,False
Слишком красивая для тебя,1989,Франция,Бертран Блие,7.1,False
12 обезьян,1995,США,Терри Гиллиам,7.8,False
Круглосуточные тусовщики,2001,Великобритания,Майкл Уинтерботтом,7.1,False
Двухполосное шоссе,1971,США,Монте Хеллман,7.0,False
2001 год: Космическая одиссея,1968,Великобритания,Стэнли Кубрик,7.9,False
Сказки туманной луны после дождя,1953,Япония,Кэндзи Мидзогути,7.9,False
Шербурские зонтики,1964,Франция,Жак Деми,7.7,False
Невероятная правда,1989,США,Хэл Хартли,7.2,False
Внутри себя,1997,Великобритания,Карин Адлер,5.7,False
Непрощенный,1992,США,Клинт Иствуд,7.8,False
Потерянный рейс,2006,США,Пол Гринграсс,7.2,False
Неприкасаемые,1987,США,Брайан Де Пальма,7.8,False
Подозрительные лица,1995,Германия,Брайан Сингер,7.8,False
Отчуждение,2002,Турция,Нури Бильге Джейлан,7.1,False
Вальсирующие,1974,Франция,Бертран Блие,7.7,False
Исчезновение,1988,Нидерланды,Георге Слёйзер,7.2,False
"Мне отмщение, и аз воздам",1979,Япония,Сёхэй Имамура,7.2,False
Вера Дрейк,2004,Великобритания,Майк Ли,7.3,False
Головокружение,1958,США,Альфред Хичкок,7.9,False
Жертва,1961,Великобритания,Бэзил Дирден,6.9,False
Видеодром,1982,Канада,Дэвид Кроненберг,7.0,False
Деревня проклятых,1960,Великобритания,Вульф Рилла,6.7,False
Жестокий полицейский,1989,Япония,Такеши Китано,7.2,False
Виридиана,1961,Мексика,Луис Бунюэль,7.9,False
Жить своей жизнью,1962,Франция,Жан-Люк Годар,7.6,True
Путешествие в Италию,1954,Италия,Роберто Росселлини,7.1,False
Плата за страх,1952,Франция,Анри-Жорж Клузо,8.0,False
Уолл-стрит,1987,США,Оливер Стоун,7.6,False
Военная игра,1966,Великобритания,Питер Уоткинс,6.8,False
Военные игры,1983,США,Джон Бэдэм,7.1,False
Воины,1979,США,Уолтер Хилл,7.5,False
Водопад жизни,1920,США,Дэвид Уорк Гриффит,7.2,False
Мир Уэйна,1992,США,Пенелопа Сфирис,6.3,False
Гармонии Веркмейстера,2000,Венгрия,Бела Тарр,7.7,False
Вестсайдская история,1961,США,Роберт Уайз,7.2,False
"В чем дело, док?",1972,США,Питер Богданович,7.2,False
Что случилось с Бэби Джейн?,1962,США,Роберт Олдрич,7.8,False
Папа в командировке,1985,Югославия,Эмир Кустурица,7.8,False
Когда Гарри встретил Салли,1989,США,Роб Райнер,7.7,False
Когда мы были королями,1996,США,Леон Гаст,7.3,False
"Там, где гнездятся орлы",1968,Великобритания,Брайан Дж. Хаттон,7.1,False
Белый шар,1995,Иран,Джафар Панахи,7.0,False
Белая горячка,1949,США,Рауль Уолш,7.6,False
Кто подставил кролика Роджера,1988,США,Роберт Земекис,7.9,False
Кто боится Вирджинии Вульф?,1966,США,Майк Николс,7.8,False
Плетеный человек,1973,Великобритания,Робин Харди,7.1,False
Дикие ангелы,1966,США,Роджер Корман,6.1,False
Дикая банда,1969,США,Сэм Пекинпа,7.7,False
Дикарь,1953,США,Ласло Бенедек,7.0,False
Земляничная поляна,1957,Швеция,Ингмар Бергман,8.0,True
Ромео + Джульетта,1996,США,Баз Лурман,7.3,False
Ветер,1928,США,Виктор Шёстрём,7.7,False
Небо над Берлином,1987,Германия (ФРГ),Вим Вендерс,8.0,False
Мудрая кровь,1979,США,Джон Хьюстон,6.6,False
Великий инквизитор,1968,Великобритания,Майкл Ривз,6.4,False
Уитнэйл и Я,1986,Великобритания,Брюс Робинсон,7.8,False
Волшебник страны Оз,1939,США,Виктор Флеминг,7.6,True
Женщина в песках,1964,Япония,Хироси Тэсигахара,8.1,False
Влюблённые женщины,1969,Великобритания,Кен Рассел,7.1,False
Женщины на грани нервного срыва,1988,Испания,Педро Альмодовар,7.6,False
Женщины,1939,США,Джордж Кьюкор,7.5,False
Деловая женщина,1988,США,Майк Николс,7.2,False
Человек с рентгеновскими глазами,1963,США,Роджер Корман,6.5,False
Люди Икс,2000,США,Брайан Сингер,7.7,False
И твою маму тоже,2001,Мексика,Альфонсо Куарон,7.0,False
Бабушка,1988,Буркина-Фасо,Идрисса Уэдраого,6.7,False
"Год, когда у меня ломался голос",1987,Австралия,Джон Дайган,6.8,False
"Год, опасный для жизни",1982,Австралия,Питер Уир,6.9,False
Желтая земля,1984,Китай,Чэнь Кайгэ,6.3,False
The Beatles: Желтая подводная лодка,1968,Великобритания,Джордж Даннинг,8.0,False
Молодой Адам,2002,Великобритания,Дэвид Маккензи,6.7,False
Молодой Франкенштейн,1974,США,Мэл Брукс,7.3,False
Дзета,1969,Франция,Коста-Гаврас,7.7,False
Затоiчи,2003,Япония,Такеши Китано,7.7,False
Зази в метро,1960,Франция,Луи Маль,7.2,False
Ноль за поведение,1933,Франция,Жан Виго,7.2,False
Образцовый самец,2001,Германия,Бен Стиллер,6.1,False
Зулусы,1964,Великобритания,Сай Эндфилд,7.5,False
